date;n_casualty
2019-01-01;263
2019-01-02;239
2019-01-03;255
2019-01-04;298
2019-01-05;287
2019-01-06;206
2019-01-07;288
2019-01-08;335
2019-01-09;355
2019-01-10;317
2019-01-11;450
2019-01-12;301
2019-01-13;264
2019-01-14;356
2019-01-15;357
2019-01-16;338
2019-01-17;347
2019-01-18;473
2019-01-19;345
2019-01-20;230
2019-01-21;330
2019-01-22;275
2019-01-23;257
2019-01-24;313
2019-01-25;337
2019-01-26;327
2019-01-27;226
2019-01-28;276
2019-01-29;299
2019-01-30;318
2019-01-31;313
2019-02-01;427
2019-02-02;288
2019-02-03;250
2019-02-04;304
2019-02-05;294
2019-02-06;326
2019-02-07;405
2019-02-08;431
2019-02-09;326
2019-02-10;298
2019-02-11;282
2019-02-12;346
2019-02-13;351
2019-02-14;374
2019-02-15;491
2019-02-16;437
2019-02-17;328
2019-02-18;305
2019-02-19;307
2019-02-20;299
2019-02-21;337
2019-02-22;401
2019-02-23;342
2019-02-24;275
2019-02-25;367
2019-02-26;366
2019-02-27;323
2019-02-28;311
2019-03-01;308
2019-03-02;257
2019-03-03;251
2019-03-04;259
2019-03-05;309
2019-03-06;304
2019-03-07;346
2019-03-08;343
2019-03-09;303
2019-03-10;290
2019-03-11;295
2019-03-12;299
2019-03-13;305
2019-03-14;320
2019-03-15;362
2019-03-16;352
2019-03-17;279
2019-03-18;350
2019-03-19;334
2019-03-20;315
2019-03-21;388
2019-03-22;479
2019-03-23;438
2019-03-24;284
2019-03-25;324
2019-03-26;373
2019-03-27;397
2019-03-28;367
2019-03-29;455
2019-03-30;404
2019-03-31;428
2019-04-01;302
2019-04-02;365
2019-04-03;324
2019-04-04;435
2019-04-05;415
2019-04-06;355
2019-04-07;285
2019-04-08;313
2019-04-09;306
2019-04-10;376
2019-04-11;355
2019-04-12;422
2019-04-13;419
2019-04-14;312
2019-04-15;284
2019-04-16;319
2019-04-17;373
2019-04-18;382
2019-04-19;457
2019-04-20;415
2019-04-21;274
2019-04-22;289
2019-04-23;308
2019-04-24;311
2019-04-25;312
2019-04-26;417
2019-04-27;285
2019-04-28;273
2019-04-29;291
2019-04-30;366
2019-05-01;325
2019-05-02;390
2019-05-03;299
2019-05-04;277
2019-05-05;288
2019-05-06;338
2019-05-07;367
2019-05-08;279
2019-05-09;297
2019-05-10;406
2019-05-11;325
2019-05-12;321
2019-05-13;430
2019-05-14;423
2019-05-15;395
2019-05-16;339
2019-05-17;353
2019-05-18;308
2019-05-19;274
2019-05-20;307
2019-05-21;292
2019-05-22;387
2019-05-23;363
2019-05-24;421
2019-05-25;394
2019-05-26;358
2019-05-27;345
2019-05-28;347
2019-05-29;419
2019-05-30;353
2019-05-31;420
2019-06-01;423
2019-06-02;400
2019-06-03;329
2019-06-04;371
2019-06-05;411
2019-06-06;383
2019-06-07;457
2019-06-08;393
2019-06-09;374
2019-06-10;251
2019-06-11;391
2019-06-12;412
2019-06-13;368
2019-06-14;441
2019-06-15;382
2019-06-16;451
2019-06-17;424
2019-06-18;403
2019-06-19;367
2019-06-20;394
2019-06-21;571
2019-06-22;453
2019-06-23;388
2019-06-24;436
2019-06-25;397
2019-06-26;445
2019-06-27;442
2019-06-28;540
2019-06-29;469
2019-06-30;467
2019-07-01;431
2019-07-02;483
2019-07-03;477
2019-07-04;535
2019-07-05;527
2019-07-06;473
2019-07-07;430
2019-07-08;373
2019-07-09;445
2019-07-10;428
2019-07-11;407
2019-07-12;483
2019-07-13;415
2019-07-14;380
2019-07-15;391
2019-07-16;406
2019-07-17;423
2019-07-18;365
2019-07-19;432
2019-07-20;443
2019-07-21;336
2019-07-22;288
2019-07-23;341
2019-07-24;376
2019-07-25;385
2019-07-26;415
2019-07-27;393
2019-07-28;249
2019-07-29;354
2019-07-30;362
2019-07-31;289
2019-08-01;353
2019-08-02;444
2019-08-03;323
2019-08-04;303
2019-08-05;349
2019-08-06;321
2019-08-07;354
2019-08-08;311
2019-08-09;416
2019-08-10;339
2019-08-11;305
2019-08-12;270
2019-08-13;335
2019-08-14;316
2019-08-15;220
2019-08-16;314
2019-08-17;381
2019-08-18;342
2019-08-19;270
2019-08-20;295
2019-08-21;280
2019-08-22;340
2019-08-23;347
2019-08-24;368
2019-08-25;384
2019-08-26;295
2019-08-27;291
2019-08-28;302
2019-08-29;400
2019-08-30;430
2019-08-31;459
2019-09-01;312
2019-09-02;343
2019-09-03;370
2019-09-04;373
2019-09-05;362
2019-09-06;515
2019-09-07;466
2019-09-08;330
2019-09-09;360
2019-09-10;381
2019-09-11;416
2019-09-12;405
2019-09-13;527
2019-09-14;430
2019-09-15;432
2019-09-16;403
2019-09-17;372
2019-09-18;421
2019-09-19;433
2019-09-20;503
2019-09-21;351
2019-09-22;343
2019-09-23;378
2019-09-24;363
2019-09-25;395
2019-09-26;338
2019-09-27;394
2019-09-28;410
2019-09-29;336
2019-09-30;420
2019-10-01;365
2019-10-02;396
2019-10-03;376
2019-10-04;455
2019-10-05;449
2019-10-06;365
2019-10-07;371
2019-10-08;422
2019-10-09;395
2019-10-10;429
2019-10-11;512
2019-10-12;347
2019-10-13;375
2019-10-14;336
2019-10-15;378
2019-10-16;356
2019-10-17;390
2019-10-18;471
2019-10-19;391
2019-10-20;427
2019-10-21;332
2019-10-22;385
2019-10-23;322
2019-10-24;416
2019-10-25;431
2019-10-26;469
2019-10-27;355
2019-10-28;318
2019-10-29;333
2019-10-30;319
2019-10-31;407
2019-11-01;371
2019-11-02;378
2019-11-03;319
2019-11-04;443
2019-11-05;426
2019-11-06;386
2019-11-07;422
2019-11-08;413
2019-11-09;375
